ID,PFS_Paper,Final_judge_PFS,ORR_Paper,Final_judge_ORR,Blinding_Central,Trial_phase,Trial_number,Trial_name,Tumor,Funding,Industry_name,Trial_arm,Treatment_line,Drug_name_intervention,Drug_classification_intervention,Drug_name_control,Drug_classification_control,Primary_outcome,Response_criteria,Randomized_patient_number_intervention,Randomized_patient_number_control,Follow_up_period_months_median,PFS_INV_HR,PFS_INV_95%CI_lower,PFS_INV_95%CI_upper,PFS_CNT_HR,PFS_CNT_95%CI_lower,PFS_CNT_95%CI_upper,ORR_N_INV_intervention,CR+PR_INV_intervention,ORR_N_INV_control,CR+PR_INV_control,ORR_N_CNT_intervention,CR+PR_CNT_intervention,ORR_N_CNT_control,CR+PR_CNT_control,Median_OS_intervention,Median_OS_control,OS_HR,OS_95%CI_lower,OS_95%CI_upper,title,journal,year,authors,url,pubmed_id,Reason_PFS,Reason_ORR
9,Investigator,Investigator,Investigator + Central,Investigator,Unclear,Phase 2,NCT02268695,GORTEC 2014-01 TPExtreme,Head and Neck Cancer,Industry,Merck Santé and Chugai Pharma.,2,1,"docetaxel, platinum, cetuximab",Target therapy and chemotherapy,"platinum, fluorouracil, cetuximab",Target therapy and chemotherapy,OS,RECIST 1.1,271,270,34.4/30.2,0.88,0.74,1.04,NA,NA,NA,269,155,270,154,NA,NA,NA,NA,14.5,13.4,0.89,0.74,1.08,"Cetuximab, docetaxel, and cisplatin versus platinum, fluorouracil, and cetuximab as first-line treatment in patients with recurrent or metastatic head and neck squamous-cell carcinoma (GORTEC 2014-01 TPExtreme): a multicentre, open-label, randomised, phase 2 trial.",The Lancet. Oncology,2021,Guigay J and Aupﾃｩrin A and Fayette J and Saada-Bouzid E and Lafond C and Taberna M and Geoffrois L and Martin L and Capitain O and Cupissol D and Castanie H and Vansteene D and Schafhausen P and Johnson A and Even C and Sire C and Duplomb S and Evrard C and Delord JP and Laguerre B and Zanetta S and Chevassus-Clﾃｩment C and Fraslin A and Louat F and Sinigaglia L and Keilholz U and Bourhis J and Mesia R,https://pubmed.ncbi.nlm.nih.gov/33684370/,33684370,No central,No central
26,Investigator + Central,Investigator + Central (INV data not shown),Central,Central,Blinding,Phase 3,NCT03215706,CheckMate 9LA,Non-small cell lung cancer,Industry,Bristol Myers Squibb,2,1,nivolumab plus ipilimumab with chemotherapy,Immune checkpoint inhibitor and chemotherapy,Chemotherapy,Chemotherapy,OS,RECIST 1.1,361,358,13.2,NA,NA,NA,0.68,0.57,0.82,NA,NA,NA,NA,361,138,358,89,15.6,10.9,0.66,0.55,0.8,"First-line nivolumab plus ipilimumab combined with two cycles of chemotherapy in patients with non-small-cell lung cancer (CheckMate 9LA): an international, randomised, open-label, phase 3 trial.",The Lancet. Oncology,2021,Paz-Ares L and Ciuleanu TE and Cobo M and Schenker M and Zurawski B and Menezes J and Richardet E and Bennouna J and Felip E and Juan-Vidal O and Alexandru A and Sakai H and Lingua A and Salman P and Souquet PJ and De Marchi P and Martin C and Pﾃｩrol M and Scherpereel A and Lu S and John T and Carbone DP and Meadows-Shropshire S and Agrawal S and Oukessou A and Yan J and Reck M,https://pubmed.ncbi.nlm.nih.gov/33476593/,33476593,No local,No local
82,Investigator + Central,Central,Unclear,Central?,Blinding,Phase 3,NCT01808573,NALA,Breast cancer,Industry,Puma Biotechnology,2,≥3,Neratinib plus capecitabine,Target therapy and chemotherapy,Lapatinib plus capecitabine,Target therapy and chemotherapy,PFS,RECIST 1.1,307,314,29.9,NA,NA,NA,0.76,0.63,0.93,NA,NA,NA,NA,256,84,270,72,24,22.2,0.88,0.72,1.07,Neratinib Plus Capecitabine Versus Lapatinib Plus Capecitabine in HER2-Positive Metastatic Breast Cancer Previously Treated With 竕･ 2 HER2-Directed Regimens: Phase III NALA Trial.,Journal of clinical oncology : official journal of the American Society of Clinical           Oncology,2020,Saura C and Oliveira M and Feng YH and Dai MS and Chen SW and Hurvitz SA and Kim SB and Moy B and Delaloge S and Gradishar W and Masuda N and Palacova M and Trudeau ME and Mattson J and Yap YS and Hou MF and De Laurentiis M and Yeh YM and Chang HT and Yau T and Wildiers H and Haley B and Fagnani D and Lu YS and Crown J and Lin J and Takahashi M and Takano T and Yamaguchi M and Fujii T and Yao B and Bebchuk J and Keyvanjah K and Bryce R and Brufsky A,https://pubmed.ncbi.nlm.nih.gov/32678716/,32678716,No local,No local
100,Investigator + Central,Central,Central,Central,Blinding,Phase 3,NCT03091192,SAVIOR,Renal cell cancer,Industry,AstraZeneca,2,≥ 1,Savolitinib,Target therapy,Sunitinib,Target therapy,PFS,RECIST 1.1,33,27,NA,NA,NA,NA,0.71,0.37,1.36,NA,NA,NA,NA,33,9,27,2,Not reached,13.2,0.51,0.21,1.17,Efficacy of Savolitinib vs Sunitinib in Patients With MET-Driven Papillary Renal Cell Carcinoma: The SAVOIR Phase 3 Randomized Clinical Trial.,JAMA oncology,2020,Choueiri TK and Heng DYC and Lee JL and Cancel M and Verheijen RB and Mellemgaard A and Ottesen LH and Frigault MM and L'Hernault A and Szijgyarto Z and Signoretti S and Albiges L,https://pubmed.ncbi.nlm.nih.gov/32469384/,32469384,No local,No local
133,Investigator + Central,Central,Investigator + Central,Central,Unclear,Phase 3,NCT02339116,TRIBE2,Colorectal cancer,Industry,"The GONO Cooperative Group, the ARCO Foundation, and F Hoffmann–La Roche.",2,1,FOLFOXIRI plus bevacizumab and reintroduction after progression,Target therapy and chemotherapy,mFOLFOX6 plus bevacizumab followed by FOLFIRI plus bevacizumab,Target therapy and chemotherapy,PFS,RECIST 1.1,339,340,35.9,NA,NA,NA,0.74,0.63,0.88,NA,NA,NA,NA,339,210,340,171,27.4,22.5,0.82,0.68,0.98,"Upfront FOLFOXIRI plus bevacizumab and reintroduction after progression versus mFOLFOX6 plus bevacizumab followed by FOLFIRI plus bevacizumab in the treatment of patients with metastatic colorectal cancer (TRIBE2): a multicentre, open-label, phase 3, randomised, controlled trial.",The Lancet. Oncology,2020,Cremolini C and Antoniotti C and Rossini D and Lonardi S and Loupakis F and Pietrantonio F and Bordonaro R and Latiano TP and Tamburini E and Santini D and Passardi A and Marmorino F and Grande R and Aprile G and Zaniboni A and Murgioni S and Granetto C and Buonadonna A and Moretto R and Corallo S and Cordio S and Antonuzzo L and Tomasello G and Masi G and Ronzoni M and Di Donato S and Carlomagno C and Clavarezza M and Ritorto G and Mambrini A and Roselli M and Cupini S and Mammoliti S and Fenocchio E and Corgna E and Zagonel V and Fontanini G and Ugolini C and Boni L and Falcone A,https://pubmed.ncbi.nlm.nih.gov/32164906/,32164906,No local,No local
155,Investigator + Central,Central,Investigator + Central,Central,Blinding,Phase 3,NCT02511405,GLOBE,Glioblastoma,Industry,VBL Therapeutics,2,"2, 3",VB-111pllus bevacizumab,Immune therapy plus Target therapy,bevacizumab,Target therapy,OS,Response Assessment in Neuro-Oncology (RANO),128,128,NA,NA,NA,NA,1.345,1.03,1.755,NA,NA,NA,NA,128,35,128,28,6.8,7.9,1.204,0.91,1.592,A randomized controlled phase III study of VB-111 combined with bevacizumab vs bevacizumab monotherapy in patients with recurrent glioblastoma (GLOBE).,Neuro-oncology,2020,Cloughesy TF and Brenner A and de Groot JF and Butowski NA and Zach L and Campian JL and Ellingson BM and Freedman LS and Cohen YC and Lowenton-Spier N and Rachmilewitz Minei T and Fain Shmueli S and Wen PY,https://pubmed.ncbi.nlm.nih.gov/31844890/,31844890,No local,No local
167,Investigator + Central,Central,Investigator + Central,Central,Unclear,Phase 2b,NCT02195180,No name,Pancretic cancer,Industry,ERYtech Pharma,2,2,Eryaspase plus chemotherapy,Chemotherapy,Chemotherapy,Chemotherapy,OS and PFS,RECIST 1.1,95,46,6.1/4.7,NA,NA,NA,0.56,0.37,0.84,NA,NA,NA,NA,95,12,46,3,6,4.4,0.6,0.41,0.87,"Erythrocyte-encapsulated asparaginase (eryaspase) combined with chemotherapy in second-line treatment of advanced pancreatic cancer: An open-label, randomized Phase IIb trial.","European journal of cancer (Oxford, England : 1990)",2020,Hammel P and Fabienne P and Mineur L and Metges JP and Andre T and De La Fouchardiere C and Louvet C and El Hajbi F and Faroux R and Guimbaud R and Tougeron D and Bouche O and Lecomte T and Rebischung C and Tournigand C and Cros J and Kay R and Hamm A and Gupta A and Bachet JB and El Hariry I,https://pubmed.ncbi.nlm.nih.gov/31760314/,31760314,No local,No local
172,Investigator + Central,No PFS,No ORR,No ORR,Unclear,Phase 2,NCT02125357,No name,Prostate cancer,Industry and Public,"Canadian Cancer Society Research Institute, Prostate Cancer Canada, Movember Foundation, Prostate
Cancer Foundation, Terry Fox New Frontiers Program, BC Cancer Foundation, Jane and Aatos Erkko Foundation,
Janssen, and Astellas.",2,2,Abiraterone acetate plus prednisone→Enzaltamide,Hormone therapy,Enzaltamide→Abiraterone acetate plus prednisone,Hormone therapy,"time to second PSA progression
and PSA response (≥30% decline from baseline) on second-line therapy,",,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,"Optimal sequencing of enzalutamide and abiraterone acetate plus prednisone in metastatic castration-resistant prostate cancer: a multicentre, randomised, open-label, phase 2, crossover trial.",The Lancet. Oncology,2019,Khalaf DJ and Annala M and Taavitsainen S and Finch DL and Oja C and Vergidis J and Zulfiqar M and Sunderland K and Azad AA and Kollmannsberger CK and Eigl BJ and Noonan K and Wadhwa D and Attwell A and Keith B and Ellard SL and Le L and Gleave ME and Wyatt AW and Chi KN,https://pubmed.ncbi.nlm.nih.gov/31727538/,31727538,No PFS,No ORR
235,Investigator + Central,Central,Investigator,Investigator?,Blinding,Phase 3,NCT02588261,No name,Non-small cell lung cancer,Industry,"Astellas Pharma, Inc",2,1,Naquotinib (ASP8273),Target therapy,erlotinib or gefitinib,Target therapy,PFS,RECIST 1.1,267,263,3.5/3.6,NA,NA,NA,1.611,1.086,2.391,267,88,263,126,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A phase III, randomized, open-label study of ASP8273 versus erlotinib or gefitinib in patients with advanced stage IIIB/IV non-small-cell lung cancer.",Annals of oncology : official journal of the European Society for Medical Oncology,2019,Kelly RJ and Shepherd FA and Krivoshik A and Jie F and Horn L,https://pubmed.ncbi.nlm.nih.gov/31070709/,31070709,No local,No central
283,No PFS,No PFS,Investigator + Central,NO ORR,Blinding,Phase 3,NCT02142738,KEYNOTE-024,Non-small cell lung cancer,Industry,Merck Sharp & Dohme LLC,2,1,pembrolizumab,Immune checkpoint inhibitor,Chemotherapy,Chemotherapy,PFS,RECIST 1.1,154,151,25.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,14.2,0.63,0.47,0.86,Updated Analysis of KEYNOTE-024: Pembrolizumab Versus Platinum-Based Chemotherapy for Advanced Non-Small-Cell Lung Cancer With PD-L1 Tumor Proportion Score of 50% or Greater.,Journal of clinical oncology : official journal of the American Society of Clinical           Oncology,2019,Reck M and Rodrﾃｭguez-Abreu D and Robinson AG and Hui R and Csﾅ壮zi T and Fﾃｼlﾃｶp A and Gottfried M and Peled N and Tafreshi A and Cuffe S and O'Brien M and Rao S and Hotta K and Vandormael K and Riccio A and Yang J and Pietanza MC and Brahmer JR,https://pubmed.ncbi.nlm.nih.gov/30620668/,30620668,No PFS,No ORR
317,Investigator + Central,Central,Central,Central,Blinding,Phase 3,NCT02395172,JAVELIN Lung 200,Non-small cell lung cancer,Industry,Merck and Pfizer,2,≥2,Avelumab,Immune checkpoint inhibitor,Docetaxel,Chemotherapy,OS,RECIST 1.1,396,396,18.3,NA,NA,NA,1.16,0.97,1.4,NA,NA,NA,NA,396,59,396,44,10.5,9.9,0.9,0.75,1.08,"Avelumab versus docetaxel in patients with platinum-treated advanced non-small-cell lung cancer (JAVELIN Lung 200): an open-label, randomised, phase 3 study.",The Lancet. Oncology,2018,Barlesi F and Vansteenkiste J and Spigel D and Ishii H and Garassino M and de Marinis F and ﾃ奔gﾃｼroﾄ殕u M and Szczesna A and Polychronis A and Uslu R and Krzakowski M and Lee JS and Calabrﾃｲ L and Arﾃｩn Frontera O and Ellers-Lenz B and Bajars M and Ruisi M and Park K,https://pubmed.ncbi.nlm.nih.gov/30262187/,30262187,No local,No local
326,Investigator + Central,Central,Investigator + Central,Central,Unclear,Phase 1/2,NCT02400788,No name,Hepatocellular cancer,Industry,"Yakult Honsha Co., LTD",2,1,resminostat + sorafenib,Chemotherapy,sorafenib,Chemotherapy,TTP,RECIST 1.1,86,84,NA,NA,NA,NA,0.984,0.684,1.414,NA,NA,NA,NA,83,3,84,8,11.8,14.1,1.046,0.704,1.555,"Phase I/II study of first-line combination therapy with sorafenib plus resminostat, an oral HDAC inhibitor, versus sorafenib monotherapy for advanced hepatocellular carcinoma in east Asian patients.",Investigational new drugs,2018,Tak WY and Ryoo BY and Lim HY and Kim DY and Okusaka T and Ikeda M and Hidaka H and Yeon JE and Mizukoshi E and Morimoto M and Lee MA and Yasui K and Kawaguchi Y and Heo J and Morita S and Kim TY and Furuse J and Katayama K and Aramaki T and Hara R and Kimura T and Nakamura O and Kudo M,https://pubmed.ncbi.nlm.nih.gov/30198057/,30198057,No local,No local
332,Investigator + Central,"Central, No HR",Investigator + Central,Central,Unclear,Phase 2,NCT01164189,TAVAREC,Glioma,Industry,Roche Pharmaceuticals,2,2,temozolomide plus bevacizumab,Target therapy and chemotherapy,temozolomide,Chemotherapy,OS,RANO criteria,78,77,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,36,72,32,13.8,15,1.11,0.77,1.6,"Bevacizumab and temozolomide in patients with first recurrence of WHO grade II and III glioma, without 1p/19q co-deletion (TAVAREC): a randomised controlled phase 2 EORTC trial.",The Lancet. Oncology,2018,van den Bent MJ and Klein M and Smits M and Reijneveld JC and French PJ and Clement P and de Vos FYF and Wick A and Mulholland PJ and Taphoorn MJB and Lewis J and Weller M and Chinot OL and Kros JM and de Heer I and Verschuere T and Coens C and Golfinopoulos V and Gorlia T and Idbaih A,https://pubmed.ncbi.nlm.nih.gov/30115593/,30115593,No PFS,No local
379,Investigator + Central,Central,Central,Central,Unclear,Phase 2,NCT01004003,No name,Hepatocellular cancer,Industry,Boehringer Ingelheim,2,1,Nintedanib,Target therapy,sorafenib,Target therapy,TTP,RECIST 1.0,62,31,NA,NA,NA,NA,1.35,0.78,2.34,NA,NA,NA,NA,62,1,31,2,11.9,11.4,0.88,0.52,1.47,"A multicentre, open-label, phase-I/randomised phase-II study to evaluate safety, pharmacokinetics, and efficacy of nintedanib vs. sorafenib in European patients with advanced hepatocellular carcinoma.",British journal of cancer,2018,Palmer DH and Ma YT and Peck-Radosavljevic M and Ross P and Graham J and Fartoux L and Deptala A and Studeny M and Schnell D and Hocke J and Loembﾃｩ AB and Meyer T,https://pubmed.ncbi.nlm.nih.gov/29563636/,29563636,No local,No local
388,Investigator + Central,Central,Investigator + Central,Central,Unclear,Phase 2,NCT01395758,No name,Non-small cell lung cancer,Industry,ArQule and Daichii Sanyko,2,≥2,tivantinib plus erlotinib,Target therapy,"pemetrexed, docetaxel, or gemcitabine",Chemotherapy,PFS,RECIST 1.1,51,45,3.4,data not shown,,,1.19,0.71,1.97,data not shown,,,,51,0,45,4,6.8,8.5,1.2,0.76,1.88,Randomized phase 2 study of tivantinib plus erlotinib versus single-agent chemotherapy in previously treated KRAS mutant advanced non-small cell lung cancer.,"Lung cancer (Amsterdam, Netherlands)",2018,Gerber DE and Socinski MA and Neal JW and Wakelee HA and Shirai K and Sequist LV and Rosovsky RP and Lilenbaum RC and Bastos BR and Huang C and Johnson ML and Hesketh PJ and Subramaniam DS and Dietrich MF and Chai F and Wang Y and Kazakin J and Schwartz B and Schiller JH and Brahmer JR and Kelly RJ,https://pubmed.ncbi.nlm.nih.gov/29496255/,29496255,No local,No local
395,Investigator + Central,Investigator,Investigator + Central,Investigator,Unclear,Phase 2,NCT02295930,MACBETH,Colorectal cancer,Public,"the Italian cooperative Gruppo Oncologico Nord Ovest, the ARCO Foundation, and Merck Serono SpA in Italy",2,1,"mFOLFOXIRI plus cetuximab followed by cetuximab
plus cetuximab followed by cetuximab (arm A) or bevacizumab",Target therapy and chemotherapy,mFOLFOXIRI plus cetuximab followed by bevacizumab,Target therapy and chemotherapy,PFS,RECIST 1.1,74,69,44,0.83,0.57,1.21,NA,NA,NA,59,40,57,43,NA,NA,NA,NA,33.2,32.2,0.92,0.57,1.47,Activity and Safety of Cetuximab Plus Modified FOLFOXIRI Followed by Maintenance With Cetuximab or Bevacizumab for RAS and BRAF Wild-type Metastatic Colorectal Cancer: A Randomized Phase 2 Clinical Trial.,JAMA oncology,2018,Cremolini C and Antoniotti C and Lonardi S and Aprile G and Bergamo F and Masi G and Grande R and Tonini G and Mescoli C and Cardellino GG and Coltelli L and Salvatore L and Corsi DC and Lupi C and Gemma D and Ronzoni M and Dell'Aquila E and Marmorino F and Di Fabio F and Mancini ML and Marcucci L and Fontanini G and Zagonel V and Boni L and Falcone A,https://pubmed.ncbi.nlm.nih.gov/29450468/,29450468,No central,No central
505,Investigator + Central,Central?,Investigator + Central,Central?,Unclear,Phase 3,NCT01207011,No name,Non-small cell lung cancer,Industry,"Sumitomo Dainippon Pharma Co., Ltd.",2,"2, 3",amrubicin,Chemotherapy,docetaxel,Chemotherapy,PFS,RECIST 1.1,101,101,NA,NA,NA,NA,0.9,0.65,1.25,NA,NA,NA,NA,97,14,97,19,14.6,13.5,0.97,0.69,1.36,"A randomized, open-label, phase III trial comparing amrubicin versus docetaxel in patients with previously treated non-small-cell lung cancer.",Annals of oncology : official journal of the European Society for Medical Oncology,2017,Yoshioka H and Katakami N and Okamoto H and Iwamoto Y and Seto T and Takahashi T and Sunaga N and Kudoh S and Chikamori K and Harada M and Tanaka H and Saito H and Saka H and Takeda K and Nogami N and Masuda N and Harada T and Kitagawa H and Horio H and Yamanaka T and Fukuoka M and Yamamoto N and Nakagawa K,https://pubmed.ncbi.nlm.nih.gov/28426104/,28426104,No local,No local
